t=2025-12-17T22:00:24+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-17T22:00:24+0530 lvl=info msg="using configuration at default config path" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-17T22:00:24+0530 lvl=info msg="open config file" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=e78215e7218d l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=46d872336e5a l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=53dee556b4f7 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=f7acff1b1299 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=87ea67fdc958 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=1885d8a5a3c6 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=f5abaa1c018b l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=8a7c1e018810 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=991a59264733 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=865194b2acd5 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:26+0530 lvl=info msg="join connections" obj=join id=719b831bdbea l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
t=2025-12-17T22:10:27+0530 lvl=info msg="join connections" obj=join id=18254a562c00 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62522
